category,cr_name,cr_price_pln,cr_url,bd_name,bd_price_eur,bd_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SRAM GX Eagle Type 3 ,389.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-gx-eagle-type-3-pd16721/,GX Eagle 12-speed Rear Derailleur,89.99,https://www.bike-discount.de/en/sram-gx-eagle-12-speed-rear-derailleur,0.95,2026-03-03 10:54:08.576908
przerzutki,Przerzutka tylna SRAM X01 Eagle,899.99,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-pd15978/,X01 Eagle AXS 12-speed Rear Derailleur,389.99,https://www.bike-discount.de/en/sram-x01-eagle-axs-12-speed-rear-derailleur,0.95,2026-03-03 10:54:34.511942
przerzutki,Przerzutka tylna SRAM X01 Eagle AXS,2199.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-axs-pd25680/,X01 Eagle AXS 12-speed Rear Derailleur,389.99,https://www.bike-discount.de/en/sram-x01-eagle-axs-12-speed-rear-derailleur,0.95,2026-03-03 10:54:51.792400
widelce,Amortyzator rowerowy ROCK SHOX Lyrik Ultimate,5499.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-lyrik-ultimate-pd52409/,"Lyrik Ultimate Charger 3.1 RC2 29"" DebonAir+ Tapered Boost",699.99,https://www.bike-discount.de/en/rockshox-lyrik-ultimate-charger-3.1-rc2-29-debonair-tapered-boost-2,0.95,2026-03-03 10:59:13.014780
widelce,Amortyzator rowerowy ROCK SHOX Lyrik Ultimate Charger 3 RC2,3749.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-lyrik-ultimate-charger-3-rc2-pd31556/,"Lyrik Ultimate Charger 3.1 RC2 29"" DebonAir+ Tapered Boost",699.99,https://www.bike-discount.de/en/rockshox-lyrik-ultimate-charger-3.1-rc2-29-debonair-tapered-boost-2,0.95,2026-03-03 11:00:16.404460
widelce,Amortyzator rowerowy ROCK SHOX Pike DJ,3499.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-pike-dj-pd28232/?v_Id=166177,"Pike DJ 26"" Solo Air 100 Tapered",689.99,https://www.bike-discount.de/en/rockshox-pike-dj-26-solo-air-100-tapered-1,0.95,2026-03-03 10:59:04.926623
widelce,Amortyzator rowerowy ROCK SHOX Pike Ultimate Charger 3 RC2,2249.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-pike-ultimate-charger-3-rc2-pd31558/,"Pike Ultimate Charger 3.1 RC2 29"" DebonAir+ Tapered Boost",679.99,https://www.bike-discount.de/en/rockshox-pike-ultimate-charger-3.1-rc2-29-debonair-tapered-boost-2,0.95,2026-03-03 10:59:03.699334
widelce,Amortyzator rowerowy ROCK SHOX Psylo Gold RC,1179.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-psylo-gold-rc-pd49780/,"Psylo Gold Isolator RC 29"" DebonAir 140 Tapered Boost",169.99,https://www.bike-discount.de/en/rockshox-psylo-gold-isolator-rc-29-debonair-140-tapered-boost,0.95,2026-03-03 10:58:43.218145
widelce,Amortyzator rowerowy ROCK SHOX ZEB Ultimate Charger 3 RC2,2999.0,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-zeb-ultimate-charger-3-rc2-pd31559/?v_Id=263966,"ZEB Ultimate Charger 3.1 RC2 29"" DebonAir+ Tapered Boost",799.99,https://www.bike-discount.de/en/rockshox-zeb-ultimate-charger-3.1-rc2-29-debonair-tapered-boost-1,0.95,2026-03-03 10:59:02.468247
widelce,Damper rowerowy FOX RACING SHOX DHX2 2025,2699.0,https://www.centrumrowerowe.pl/damper-rowerowy-fox-racing-shox-dhx2-2025-pd42620/,DHX2 Factory 2Pos-Adj Trunnion Rear shock,794.99,https://www.bike-discount.de/en/fox-racing-shox-dhx2-factory-2pos-adj-trunnion-rear-shock,0.95,2026-03-03 11:00:26.848166
widelce,Damper rowerowy FOX RACING SHOX DHX2 2026,3149.0,https://www.centrumrowerowe.pl/damper-rowerowy-fox-racing-shox-dhx2-2026-pd49477/,DHX2 Factory 2Pos-Adj Trunnion Rear shock,794.99,https://www.bike-discount.de/en/fox-racing-shox-dhx2-factory-2pos-adj-trunnion-rear-shock,0.95,2026-03-03 11:00:08.825876
widelce,Damper rowerowy FOX RACING SHOX Float X2,1499.0,https://www.centrumrowerowe.pl/damper-rowerowy-fox-racing-shox-float-x2-pd27676/,Float X2 Performance 225x75mm Trunnion Rear shock,139.99,https://www.bike-discount.de/en/fox-racing-shox-float-x2-performance-225x75mm-trunnion-rear-shock,0.95,2026-03-03 10:59:16.608274
widelce,Damper rowerowy FOX RACING SHOX Float X2 Factory,2199.0,https://www.centrumrowerowe.pl/damper-rowerowy-fox-racing-shox-float-x2-factory-pd42193/,Float X2 Factory 2Pos-Adj Rear shock,749.99,https://www.bike-discount.de/en/fox-racing-shox-float-x2-factory-2pos-adj-rear-shock,0.95,2026-03-03 10:59:55.718819
widelce,Damper rowerowy FOX RACING SHOX Float X2 Factory 2026,3299.0,https://www.centrumrowerowe.pl/damper-rowerowy-fox-racing-shox-float-x2-factory-2026-pd49469/,Float X2 Factory 2Pos-Adj Rear shock,749.99,https://www.bike-discount.de/en/fox-racing-shox-float-x2-factory-2pos-adj-rear-shock,0.95,2026-03-03 11:00:15.137363
widelce,Damper rowerowy ROCK SHOX Vivid,2399.0,https://www.centrumrowerowe.pl/damper-rowerowy-rock-shox-vivid-pd52417/,Vivid Ultimate RC2T DebonAir Standard,459.99,https://www.bike-discount.de/en/rockshox-vivid-ultimate-rc2t-debonair-standard,0.95,2026-03-03 10:59:58.153599
widelce,Damper rowerowy ROCK SHOX Vivid Ultimate,2399.0,https://www.centrumrowerowe.pl/damper-rowerowy-rock-shox-vivid-ultimate-pd48520/,Vivid Ultimate RC2T DebonAir Standard,459.99,https://www.bike-discount.de/en/rockshox-vivid-ultimate-rc2t-debonair-standard,0.95,2026-03-03 10:59:47.833100
