category,cr_name,cr_price_pln,cr_url,mtb_name,mtb_price_pln,mtb_url,match_confidence,matched_at
przerzutki,Przerzutka tylna SRAM X01 Eagle AXS,2199.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-x01-eagle-axs-pd25680/,"SRAM X01 Eagle przerzutka tylna, 12 rzędów, oxy red",899.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-x01-eagle-przerzutka-tylna-12-rzedow-oxy-red-p109598.html,0.95,2026-03-05T06:28:26.271288+00:00
przerzutki,Przerzutka tylna SRAM XX1 Eagle Type 3,1399.0,https://www.centrumrowerowe.pl/przerzutka-tylna-sram-xx1-eagle-type-3-pd10142/,"SRAM XX1 Eagle AXS przerzutka tylna, 12 rzędów, bez baterii",2599.0,https://www.mtbiker.pl/shop/komponenty/przerzutki-tylne/sram-xx1-eagle-axs-przerzutka-tylna-12-rzedow-bez-baterii-p87062.html,0.95,2026-03-05T06:28:33.952835+00:00
hamulce,Zacisk hamulca tarczowego SHIMANO Deore XT BR-M8120,309.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-xt-br-m8120-pd20243/,"Shimano Deore XT BR-M8120 hydr. hamulec tylny, Post Mount, przewód 1700 mm, OEM",589.0,https://www.mtbiker.pl/shop/komponenty/hamulce/shimano-deore-xt-br-m8120-hydr-hamulec-tylny-post-mount-przewod-1700-mm-oem-p362304.html,0.95,2026-03-05T06:29:16.858242+00:00
hamulce,Hamulec tarczowy SHIMANO Deore XT BL-M8100 / BR-M8120,499.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-deore-xt-bl-m8100-br-m8120-pd20236/,"Shimano Deore XT BR-M8120 hydr. hamulec tylny, Post Mount, przewód 1700 mm, OEM",589.0,https://www.mtbiker.pl/shop/komponenty/hamulce/shimano-deore-xt-br-m8120-hydr-hamulec-tylny-post-mount-przewod-1700-mm-oem-p362304.html,0.95,2026-03-05T06:29:22.079852+00:00
kasety,Kaseta SRAM GX Eagle XG-1275,664.99,https://www.centrumrowerowe.pl/kaseta-sram-gx-eagle-xg-1275-pd16114/,"SRAM GX Eagle XG-1275 kaseta, 12 rzędów",759.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/sram-gx-eagle-xg-1275-kaseta-12-rzedow-p41458.html,0.95,2026-03-05T06:29:57.140284+00:00
kasety,Kaseta SRAM XX1 Eagle XG-1299 ,1569.0,https://www.centrumrowerowe.pl/kaseta-sram-xx1-eagle-xg-1299-pd15954/,"SRAM XX1 Eagle XG-1299 kaseta, 12 rzędów, rainbow",1739.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/sram-xx1-eagle-xg-1299-kaseta-12-rzedow-rainbow-p109585.html,0.95,2026-03-05T06:29:58.527527+00:00
kasety,Kaseta SHIMANO SLX CS-HG81,139.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-hg81-pd16051/,"Shimano SLX CS-HG81-10 kaseta, 10 rzędów",228.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/shimano-slx-cs-hg81-10-kaseta-10-rzedow-p2247.html,0.95,2026-03-05T06:30:01.400877+00:00
kasety,Kaseta SHIMANO Deore XT CS-M770,194.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m770-pd16044/,"Shimano XT CS-M770 kaseta, 9 rzędów",246.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/shimano-xt-cs-m770-kaseta-9-rzedow-p47825.html,0.95,2026-03-05T06:30:02.292182+00:00
kasety,Kaseta SHIMANO SLX CS-M7100,279.99,https://www.centrumrowerowe.pl/kaseta-shimano-slx-cs-m7100-pd20153/,"Shimano SLX CS-M7100 kaseta, 12 rzędów",359.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/shimano-slx-cs-m7100-kaseta-12-rzedow-p87341.html,0.95,2026-03-05T06:30:03.609788+00:00
kasety,Kaseta SHIMANO Deore XT CS-M8100,399.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8100-pd20219/,"Shimano Deore XT CS-M8100 kaseta, 12 rzędów",539.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/shimano-deore-xt-cs-m8100-kaseta-12-rzedow-p87343.html,0.95,2026-03-05T06:30:05.038536+00:00
kasety,Kaseta SHIMANO Deore XT CS-M8200,497.99,https://www.centrumrowerowe.pl/kaseta-shimano-deore-xt-cs-m8200-pd49344/,"Kaseta Shimano Deore XT CS-M8200, 12 rzędów, 9-45T",499.0,https://www.mtbiker.pl/shop/komponenty/kasety-i-zebatki/kaseta-shimano-deore-xt-cs-m8200-12-rzedow-9-45t-p352983.html,0.95,2026-03-05T06:30:06.967141+00:00
